Income,Customer_ID,Kids_Home,Teen_Home,Recency,Amount_Spent_Wines,Amount_Spent_Fruits,Amount_Spent_Meat,Amount_Spent_Fish,Amount_Spent_Sweet,Amount_Spent_Gold,Amount_Spent_RegularProducts,Total Amount Spent,Num_Purchases_Discount,Num_Purchases_Web,Num_Purchases_Catalog,Num_Purchases_Store,Num_WebSite_per_month,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complaint,Response_to_Campaign,Age,Customer_Days,Relationship,Education,MntTotal,AcceptedCmpOverall,Total Accepted,Income (bins),Recency (bins),Frequency,RecencyScore,FrequencyScore,MonetaryScore,RFMScore,CustomerSegment
32474,C062,1,1,0,10,0,1,0,0,0,11,22,1,1,0,2,7,0,0,0,0,0,0,0,53,2208,Together,Graduation,11,0,0,30000,0,4,5,3,1,531,Loyal Customers
54348,C119,1,1,51,70,0,16,0,0,4,82,172,2,2,0,4,6,0,0,0,0,0,0,0,67,2180,Married,Master,86,0,0,50000,49,8,4,4,2,442,Potential Loyalists
30523,C150,2,1,0,5,0,3,0,0,5,3,16,1,1,0,2,7,0,0,0,0,0,0,0,62,2522,Single,Master,8,0,0,30000,0,4,5,3,1,531,Loyal Customers
38853,C166,1,1,90,29,0,14,0,0,2,41,86,2,2,0,3,7,0,0,0,0,0,0,0,50,2196,Married,Doctorate,43,0,0,35000,84,7,3,4,1,341,Potential Loyalists
32303,C175,0,1,63,35,0,2,0,0,2,35,74,2,1,0,4,5,0,0,0,0,0,0,0,50,2272,Single,Doctorate,37,0,0,30000,63,7,3,4,1,341,Potential Loyalists
40637,C192,1,1,72,22,0,13,0,0,3,32,70,2,1,0,3,7,0,0,0,0,0,0,0,55,2506,Single,Doctorate,35,0,0,40000,70,6,3,3,1,331,At Risk
44794,C196,0,1,99,54,0,7,0,0,4,57,122,1,2,0,3,6,0,0,0,0,0,0,0,54,2180,Married,Graduation,61,0,0,40000,98,6,2,3,2,232,At Risk
52195,C204,2,1,2,12,0,4,0,0,1,15,32,1,1,0,2,8,0,0,0,0,0,0,0,42,2207,Single,Primary,16,0,0,50000,0,4,5,3,1,531,Loyal Customers
23661,C224,1,0,46,18,0,4,0,0,1,21,44,1,1,0,3,7,0,0,0,0,0,0,0,38,2366,Together,Master,22,0,0,20000,42,5,4,3,1,431,Potential Loyalists
31686,C232,1,1,31,11,0,5,0,0,1,15,32,2,1,0,3,6,0,0,0,0,0,0,0,56,2183,Married,Doctorate,16,0,0,30000,28,6,4,3,1,431,Potential Loyalists
